,date,Farenheit,clouds_all,weather_description
237,2013-26-05,48.33333333,91,overcast clouds
238,2013-27-05,55.33625,72,broken clouds
239,2013-28-05,60.18833333,0,sky is clear
240,2013-29-05,59.19787879,76,broken clouds
241,2013-30-05,63.55512821,90,light rain
242,2013-31-05,80.56583333,61,broken clouds
243,2013-06-01,81.56333333,19,few clouds
244,2013-06-02,80.34666667,0,sky is clear
245,2013-06-03,79.51208333,20,few clouds
246,2013-06-04,71.9,98,overcast clouds
247,2013-06-05,67.05166667,99,overcast clouds
248,2013-06-06,65.19416667,0,Sky is Clear
249,2013-06-07,63.03541667,0,Sky is Clear
250,2013-06-08,61.13025641,92,light rain
251,2013-06-09,63.0727027,92,heavy intensity rain
252,2013-06-10,71.01583333,0,Sky is Clear
253,2013-06-11,66.64757576,8,sky is clear
254,2013-06-12,68.49918919,92,moderate rain
255,2013-13-06,71.32958333,32,scattered clouds
256,2013-14-06,63.85125,24,few clouds
257,2013-15-06,60.125,90,heavy intensity rain
258,2013-16-06,69.79708333,32,heavy intensity rain
259,2013-17-06,70.3975,0,heavy intensity rain
260,2013-18-06,75.5816,92,heavy intensity rain
261,2013-19-06,72.425,0,heavy intensity rain
262,2013-20-06,67.91,90,very heavy rain
263,2013-21-06,68.45916667,0,very heavy rain
264,2013-22-06,70.5325,0,very heavy rain
265,2013-23-06,73.43208333,0,Sky is Clear
266,2013-24-06,77.12833333,8,sky is Clear
267,2013-25-06,80.91,12,few clouds
268,2013-26-06,80.65416667,0,Sky is Clear
269,2013-27-06,80.65916667,44,scattered clouds
270,2013-28-06,77.38166667,76,heavy intensity rain
271,2013-29-06,77.03925926,76,broken clouds
272,2013-30-06,75.81291667,76,light rain
273,2013-07-01,75.6896,32,scattered clouds
274,2013-07-02,74.57882353,90,haze
275,2013-07-03,76.58375,90,overcast clouds
276,2013-07-04,77.24192308,40,thunderstorm with rain
277,2013-07-05,81.24458333,90,overcast clouds
278,2013-07-06,83.15791667,0,Sky is Clear
279,2013-07-07,85.36583333,0,Sky is Clear
280,2013-07-08,85.99166667,64,broken clouds
281,2013-07-09,81.7084,0,Sky is Clear
282,2013-07-10,80.92583333,20,moderate rain
283,2013-07-11,80.36769231,36,scattered clouds
284,2013-07-12,80.50333333,40,scattered clouds
285,2013-13-07,74.3496,36,moderate rain
286,2013-14-07,73.24179487,90,moderate rain
287,2013-15-07,78.81035714,90,light rain
288,2013-16-07,85.01708333,12,few clouds
289,2013-17-07,85.24708333,0,light rain
290,2013-18-07,85.56291667,0,sky is Clear
291,2013-19-07,87.55833333,0,Sky is Clear
292,2013-20-07,88.78666667,8,sky is clear
293,2013-21-07,86.6128,48,scattered clouds
294,2013-22-07,80.81208333,56,broken clouds
295,2013-23-07,77.64357143,80,broken clouds
296,2013-24-07,78.05121212,92,moderate rain
297,2013-25-07,78.0825,92,light rain
298,2013-26-07,66.9875,92,overcast clouds
299,2013-27-07,71.53416667,100,moderate rain
300,2013-28-07,74.83916667,0,Sky is Clear
301,2013-29-07,72.58222222,20,few clouds
302,2013-30-07,75.44233333,90,moderate rain
303,2013-31-07,73.52166667,0,Sky is Clear
304,2013-08-01,73.18375,32,scattered clouds
305,2013-08-02,70.21363636,76,broken clouds
306,2013-08-03,74.11931034,90,heavy intensity rain
307,2013-08-04,72.60708333,48,light rain
308,2013-08-05,72.62958333,8,sky is clear
309,2013-08-06,69.81458333,0,Sky is Clear
310,2013-08-07,70.77333333,0,Sky is Clear
311,2013-08-08,72.07625,0,Sky is Clear
312,2013-08-09,74.07206897,90,overcast clouds
313,2013-08-10,76.24481481,100,light rain
314,2013-08-11,76.9548,56,light rain
315,2013-08-12,72.15625,8,sky is clear
316,2013-13-08,73.01615385,76,broken clouds
317,2013-14-08,70.7162963,32,scattered clouds
318,2013-15-08,67.9,92,moderate rain
319,2013-16-08,65.48375,0,Sky is Clear
320,2013-17-08,67.04041667,0,Sky is Clear
321,2013-18-08,70.24125,92,overcast clouds
322,2013-19-08,69.53958333,68,broken clouds
323,2013-20-08,70.49791667,92,overcast clouds
324,2013-21-08,73.82692308,0,Sky is Clear
325,2013-22-08,77.47083333,88,overcast clouds
326,2013-23-08,73.99441176,8,sky is clear
327,2013-24-08,74.15875,32,scattered clouds
328,2013-25-08,70.32583333,18,few clouds
329,2013-26-08,69.91041667,0,Sky is Clear
330,2013-27-08,73.27541667,32,scattered clouds
331,2013-28-08,76.6916,96,light rain
332,2013-29-08,74.91741935,12,few clouds
333,2013-30-08,73.11724138,92,mist
334,2013-31-08,76.38625,80,broken clouds
335,2013-09-01,79.3775,60,broken clouds
336,2013-09-02,76.09612903,76,broken clouds
337,2013-09-03,72.24076923,24,few clouds
338,2013-09-04,72.03041667,0,sky is Clear
339,2013-09-05,71.04125,0,Sky is Clear
340,2013-09-06,62.18916667,0,sky is Clear
341,2013-09-07,61.16583333,0,Sky is Clear
342,2013-09-08,69.99666667,53,broken clouds
343,2013-09-09,64.01625,0,Sky is Clear
344,2013-09-10,73.1725,36,scattered clouds
345,2013-09-11,82.06625,0,sky is Clear
346,2013-09-12,79.85708333,0,sky is Clear
347,2013-13-09,69.7764,72,broken clouds
348,2013-14-09,58.8425,0,Sky is Clear
349,2013-15-09,57.90458333,0,Sky is Clear
350,2013-16-09,61.93083333,75,broken clouds
351,2013-17-09,56.84958333,56,broken clouds
352,2013-18-09,55.98208333,0,sky is Clear
353,2013-19-09,60.62458333,0,Sky is Clear
354,2013-20-09,61.82125,0,Sky is Clear
355,2013-21-09,62.5704,0,sky is Clear
356,2013-22-09,64.52392857,48,scattered clouds
357,2013-23-09,56.45708333,0,sky is Clear
358,2013-24-09,56.48125,0,light rain
359,2013-25-09,60.56583333,0,Sky is Clear
360,2013-26-09,59.85416667,88,overcast clouds
361,2013-27-09,59.39125,0,sky is Clear
362,2013-28-09,62.37333333,0,Sky is Clear
363,2013-29-09,59.54166667,0,Sky is Clear
364,2013-30-09,58.64041667,0,Sky is Clear
365,2013-10-01,64.904,0,sky is Clear
366,2013-10-02,69.47833333,8,sky is Clear
367,2013-10-03,68.89958333,10,sky is Clear
368,2013-10-04,70.58333333,56,broken clouds
369,2013-10-05,68.27807692,20,light rain
370,2013-10-06,66.54878788,92,overcast clouds
371,2013-10-07,68.92482759,92,haze
372,2013-10-08,58.13,92,light rain
373,2013-10-09,54.54083333,12,few clouds
374,2013-10-10,55.79416667,88,overcast clouds
375,2013-10-11,61.9952,92,overcast clouds
376,2013-10-12,64.66708333,92,overcast clouds
377,2013-13-10,59.89791667,0,Sky is Clear
378,2013-14-10,56.51666667,0,sky is Clear
379,2013-15-10,57.37833333,0,Sky is Clear
380,2013-16-10,58.57791667,44,scattered clouds
381,2013-17-10,64.0332,76,broken clouds
382,2013-18-10,63,92,light rain
383,2013-19-10,55.30458333,0,sky is Clear
384,2013-20-10,54.91083333,92,overcast clouds
385,2013-21-10,54.14541667,0,sky is Clear
386,2013-22-10,54.9025,0,Sky is Clear
387,2013-23-10,50.83125,0,sky is Clear
388,2013-24-10,45.16666667,0,sky is Clear
389,2013-25-10,44.84958333,0,Sky is Clear
390,2013-26-10,44.05666667,0,Sky is Clear
391,2013-27-10,51.14583333,0,Sky is Clear
392,2013-28-10,47.90166667,10,sky is Clear
393,2013-29-10,48.68958333,16,few clouds
394,2013-30-10,50.73833333,40,scattered clouds
395,2013-31-10,56.56791667,44,scattered clouds
396,2013-11-01,67.05791667,84,broken clouds
397,2013-11-02,58.0425,38,scattered clouds
398,2013-11-03,49.82541667,44,scattered clouds
399,2013-11-04,39.41,0,sky is Clear
400,2013-11-05,45.37333333,28,scattered clouds
401,2013-11-06,51.49958333,50,scattered clouds
402,2013-11-07,57.45730769,0,Sky is Clear
403,2013-11-08,44.44083333,0,Sky is Clear
404,2013-11-09,43.06125,0,sky is Clear
405,2013-11-10,48.89458333,0,Sky is Clear
406,2013-11-11,47.57208333,0,Sky is Clear
407,2013-11-12,41.48571429,0,Sky is Clear
408,2013-13-11,32.48833333,0,Sky is Clear
409,2013-14-11,38.57916667,0,Sky is Clear
410,2013-15-11,44.91041667,0,Sky is Clear
411,2013-16-11,48.17541667,0,Sky is Clear
412,2013-17-11,52.40709677,0,Sky is Clear
413,2013-18-11,60.2,90,fog
414,2013-19-11,47.6125,0,Sky is Clear
415,2013-20-11,36.98583333,0,Sky is Clear
416,2013-21-11,36.36625,0,Sky is Clear
417,2013-22-11,50.16296296,0,Sky is Clear
418,2013-23-11,45.51208333,0,Sky is Clear
419,2013-24-11,27.37375,0,Sky is Clear
420,2013-25-11,29.965,0,Sky is Clear
421,2013-26-11,39.0312,0,Sky is Clear
422,2013-27-11,48.41525,0,light rain
423,2013-28-11,40.3432,0,light rain
424,2013-29-11,39.43541667,0,Sky is Clear
425,2013-30-11,31.89916667,0,Sky is Clear
426,2013-12-01,39.64333333,0,Sky is Clear
427,2013-12-02,42.67416667,0,Sky is Clear
428,2013-12-03,41.98291667,0,Sky is Clear
429,2013-12-04,42.17875,0,Sky is Clear
430,2013-12-05,49.32738095,0,Sky is Clear
431,2013-12-06,52.16659574,0,sky is Clear
432,2013-12-07,38.3930303,0,moderate rain
433,2013-12-08,35.96269231,0,sky is Clear
434,2013-12-09,34.14763636,0,light rain
435,2013-12-10,37.35212121,0,sky is Clear
436,2013-12-11,28.41,0,sky is Clear
437,2013-12-12,25.48666667,0,Sky is Clear
438,2013-13-12,27.28125,0,Sky is Clear
439,2013-14-12,24.86137931,0,Sky is Clear
440,2013-15-12,29.0427027,0,snow
441,2013-16-12,28.80791667,0,light rain
442,2013-17-12,24.98595238,0,Sky is Clear
443,2013-18-12,26.78,0,sky is Clear
444,2013-19-12,38.39791667,0,sky is Clear
445,2013-20-12,41.0925,0,light rain
446,2013-21-12,49.2875,0,light rain
447,2013-22-12,60.015,0,sky is Clear
448,2013-23-12,57.11171429,0,sky is Clear
449,2013-24-12,38.27083333,0,light rain
450,2013-25-12,24.45541667,0,sky is Clear
451,2013-26-12,29.47,0,sky is Clear
452,2013-27-12,32.72791667,0,Sky is Clear
453,2013-28-12,38.19125,0,sky is Clear
454,2013-29-12,41.72965517,0,sky is Clear
455,2013-30-12,38.68714286,0,light rain
456,2013-31-12,24.8125,0,Sky is Clear
457,2014-01-01,27.13791667,20,few clouds
458,2014-01-02,28.3812,0,Sky is Clear
459,2014-01-03,15.38190476,45,light rain
460,2014-01-04,12.81416667,0,Sky is Clear
461,2014-01-05,24.76939394,0,sky is Clear
462,2014-01-06,44.31340426,0,light rain
463,2014-01-07,12.79166667,0,Sky is Clear
464,2014-01-08,12.09916667,0,Sky is Clear
465,2014-01-09,23.51416667,0,Sky is Clear
466,2014-01-10,29.82564103,0,sky is Clear
467,2014-01-11,44.2068254,0,light intensity drizzle
468,2014-01-12,46.7368,45,light rain
469,2014-13-01,39.08958333,0,sky is Clear
470,2014-14-01,44.8275,0,sky is Clear
471,2014-15-01,37.91472222,0,Sky is Clear
472,2014-16-01,38.5544,0,mist
473,2014-17-01,46.7775,0,sky is Clear
474,2014-18-01,52.96,0,Sky is Clear
475,2014-19-01,38.89708333,0,Sky is Clear
476,2014-20-01,37.66583333,0,Sky is Clear
477,2014-21-01,22.39742857,0,sky is Clear
478,2014-22-01,10.89,0,sky is Clear
479,2014-23-01,11.35,0,sky is Clear
480,2014-24-01,13.82541667,0,sky is Clear
481,2014-25-01,21.34484848,0,sky is Clear
482,2014-26-01,20.2024,0,haze
483,2014-27-01,29.60708333,90,overcast clouds
484,2014-28-01,17.10958333,75,broken clouds
485,2014-29-01,16.50666667,90,overcast clouds
486,2014-30-01,17.86833333,1,sky is clear
487,2014-31-01,24.72916667,4,sky is Clear
488,2014-02-01,32.47041667,48,scattered clouds
489,2014-02-02,38.4025,22,few clouds
490,2014-02-03,35.18791667,75,broken clouds
491,2014-02-04,26.57291667,90,light rain
492,2014-02-05,30.55416667,75,broken clouds
493,2014-02-06,26.65,90,light rain
494,2014-02-07,25.6025,75,broken clouds
495,2014-02-08,24.2775,75,broken clouds
496,2014-02-09,23.37208333,75,broken clouds
497,2014-02-10,23.91666667,90,light rain
498,2014-02-11,18.81291667,40,scattered clouds
499,2014-02-12,16.98291667,20,few clouds
500,2014-13-02,27.16666667,90,overcast clouds
501,2014-14-02,34.28916667,90,light rain
502,2014-15-02,32.02625,40,light rain
503,2014-16-02,25.37166667,90,light rain
504,2014-17-02,23.02333333,90,overcast clouds
505,2014-18-02,28.10166667,75,broken clouds
506,2014-19-02,31.65458333,40,scattered clouds
507,2014-20-02,39.96458333,75,broken clouds
508,2014-21-02,38.15666667,90,overcast clouds
509,2014-22-02,40.33291667,90,overcast clouds
510,2014-23-02,42.11958333,40,scattered clouds
511,2014-24-02,38.37875,90,overcast clouds
512,2014-25-02,27.185,40,scattered clouds
513,2014-26-02,25.61125,40,scattered clouds
514,2014-27-02,20.615,20,few clouds
515,2014-28-02,15.83375,40,scattered clouds
516,2014-03-01,22.09125,20,few clouds
517,2014-03-02,35.02541667,90,overcast clouds
518,2014-03-03,24.72208333,90,overcast clouds
519,2014-03-04,17.32458333,75,broken clouds
520,2014-03-05,28.8075,67,broken clouds
521,2014-03-06,23.63166667,40,scattered clouds
522,2014-03-07,28.72625,75,broken clouds
523,2014-03-08,41.15291667,75,broken clouds
524,2014-03-09,40.6475,75,broken clouds
525,2014-03-10,40.49125,75,broken clouds
526,2014-03-11,48.62958333,75,broken clouds
527,2014-03-12,47.71708333,75,broken clouds
528,2014-13-03,27.5725,90,moderate rain
529,2014-14-03,28.6475,20,few clouds
530,2014-15-03,47.19291667,75,broken clouds
531,2014-16-03,37.24666667,40,scattered clouds
532,2014-17-03,27.75333333,90,overcast clouds
533,2014-18-03,31.53,75,broken clouds
534,2014-19-03,34.3225,20,few clouds
535,2014-20-03,44.47625,90,moderate rain
536,2014-21-03,43.05541667,40,scattered clouds
537,2014-22-03,45.64083333,20,few clouds
538,2014-23-03,40.6325,40,scattered clouds
539,2014-24-03,27.305,75,broken clouds
540,2014-25-03,29.23541667,75,broken clouds
541,2014-26-03,32.37333333,90,overcast clouds
542,2014-27-03,29.54,20,few clouds
543,2014-28-03,42.76125,75,light rain
544,2014-29-03,47.2975,90,overcast clouds
545,2014-30-03,44.79583333,90,moderate rain
546,2014-31-03,42.46583333,90,moderate rain
547,2014-04-01,45.41833333,40,scattered clouds
548,2014-04-02,44.37916667,40,scattered clouds
549,2014-04-03,50.105,75,broken clouds
550,2014-04-04,43.69541667,90,overcast clouds
551,2014-04-05,44.74,90,moderate rain
552,2014-04-06,44.49833333,40,scattered clouds
553,2014-04-07,43.72458333,75,broken clouds
554,2014-04-08,51.96291667,90,moderate rain
555,2014-04-09,51.17458333,40,scattered clouds
556,2014-04-10,48.76041667,20,few clouds
557,2014-04-11,59.28875,75,broken clouds
558,2014-04-12,59.16708333,90,overcast clouds
559,2014-13-04,60.67208333,75,broken clouds
560,2014-14-04,67.1875,75,broken clouds
561,2014-15-04,60.54875,90,overcast clouds
562,2014-16-04,37.74333333,90,light rain
563,2014-17-04,40.19041667,40,light rain
564,2014-18-04,40.07791667,75,broken clouds
565,2014-19-04,50.2575,90,overcast clouds
566,2014-20-04,50.68,75,broken clouds
567,2014-21-04,48.80666667,40,scattered clouds
568,2014-22-04,56.08125,40,scattered clouds
569,2014-23-04,54.7375,90,overcast clouds
570,2014-24-04,49.32541667,75,broken clouds
571,2014-25-04,51.71041667,20,few clouds
572,2014-26-04,52.40125,90,light rain
573,2014-27-04,50.73208333,90,moderate rain
574,2014-28-04,52.7,75,broken clouds
575,2014-29-04,50.09583333,90,overcast clouds
576,2014-30-04,45.59416667,96,light rain
577,2014-05-01,58.92916667,96,moderate rain
578,2014-05-02,57.71666667,38,scattered clouds
579,2014-05-03,56.59125,22,few clouds
580,2014-05-04,58.18833333,60,broken clouds
581,2014-05-05,57.70208333,0,Sky is Clear
582,2014-05-06,58.5425,68,light rain
583,2014-05-07,57.47583333,0,Sky is Clear
584,2014-05-08,54.86309524,88,overcast clouds
585,2014-05-09,57.26145455,36,mist
586,2014-05-10,62.44333333,92,light rain
587,2014-05-11,69.40041667,92,light rain
588,2014-05-12,69.995,0,Sky is Clear
589,2014-13-05,66.74083333,92,moderate rain
590,2014-14-05,57.08041667,44,scattered clouds
591,2014-15-05,62.36965517,92,light rain
592,2014-16-05,65.83659091,92,mist
593,2014-17-05,61.6262069,92,light rain
594,2014-18-05,58.47166667,0,light rain
595,2014-19-05,58.86958333,0,Sky is Clear
596,2014-20-05,64.44,24,few clouds
597,2014-21-05,68.73291667,92,overcast clouds
598,2014-22-05,63.64734694,92,overcast clouds
599,2014-23-05,61.886,92,mist
600,2014-24-05,60.91771429,76,thunderstorm
601,2014-25-05,61.97028571,8,moderate rain
602,2014-26-05,71.79083333,75,broken clouds
603,2014-27-05,76.38666667,75,light rain
604,2014-28-05,62.27625,90,overcast clouds
605,2014-29-05,56.59708333,90,overcast clouds
606,2014-30-05,62.38458333,75,broken clouds
607,2014-31-05,63.21708333,75,moderate rain
608,2014-06-01,63.33208333,75,broken clouds
609,2014-06-02,68.22541667,0,Sky is Clear
